reference,comparison,topic,mean_sentiment,median_sentiment
HFP,WSJ,congress,0.10370598958333334,0.11438333333333334
HFP,WSJ,congress,0.10370598958333334,0.11438333333333334
HFP,WSJ,sexual intercourse,NaN,NaN
HFP,WSJ,white house,0.09546400000000001,0.11098333333333332
HFP,WSJ,white house,0.09546400000000001,0.11098333333333332
HFP,WSJ,america,0.11112716049382716,0.1244
HFP,WSJ,new york,0.14406461538461537,0.16056666666666666
NBC,CNN,united states,0.0583326639892905,0.05123333333333333
NBC,CNN,united states government,0.02437333333333332,0.042666666666666665
NBC,CNN,minnesota,0.15099824561403508,0.15946666666666667
NBC,CNN,new world oriole,NaN,NaN
NBC,CNN,old world oriole,NaN,NaN
NBC,CNN,white house,0.045786596385542166,0.03479999999999998
NBC,CNN,white house,0.045786596385542166,0.03479999999999998
NBC,CNN,afghanistan,-0.0367737532808399,0.01503333333333332
NBC,CNN,backpacker,NaN,NaN
NBC,CNN,indiana,-0.007855555555555551,-0.05043333333333333
NBC,CTB,united states,0.09959312169312169,0.14376666666666668
NBC,CTB,united states government,0.17436666666666664,0.17436666666666664
NBC,CTB,minnesota,0.15965333333333334,0.08118333333333336
NBC,CTB,new world oriole,NaN,NaN
NBC,CTB,old world oriole,NaN,NaN
NBC,CTB,white house,0.09868634751773049,0.10731666666666667
NBC,CTB,white house,0.09868634751773049,0.10731666666666667
NBC,CTB,afghanistan,-0.10115625,-0.19330000000000003
NBC,CTB,backpacker,NaN,NaN
NBC,CTB,indiana,0.11555416666666667,0.08976666666666668
NBC,FXN,united states,0.002990604026845637,0.002116666666666674
NBC,FXN,united states government,0.01612117117117117,0.0
NBC,FXN,minnesota,0.04576568405139834,0.043933333333333324
NBC,FXN,new world oriole,NaN,NaN
NBC,FXN,old world oriole,NaN,NaN
NBC,FXN,white house,0.01581015655965121,0.015633333333333332
NBC,FXN,white house,0.01581015655965121,0.015633333333333332
NBC,FXN,afghanistan,-0.03014106029106029,-0.021800000000000007
NBC,FXN,backpacker,NaN,NaN
NBC,FXN,indiana,0.009742666666666667,0.00783333333333334
NBC,HFP,united states,0.05154402650904531,0.05103333333333334
NBC,HFP,united states government,-0.12147238095238096,-0.17759999999999998
NBC,HFP,minnesota,0.09297638640429338,0.09923333333333334
NBC,HFP,new world oriole,NaN,NaN
NBC,HFP,old world oriole,NaN,NaN
NBC,HFP,white house,0.050189595545134816,0.04419999999999999
NBC,HFP,white house,0.050189595545134816,0.04419999999999999
NBC,HFP,afghanistan,0.018415029585798815,0.022699999999999998
NBC,HFP,backpacker,NaN,NaN
NBC,HFP,indiana,0.08654677137870855,0.0919
NBC,NYT,united states,0.04916946666666667,0.07168333333333335
NBC,NYT,united states government,0.0048257777777777735,0.014299999999999998
NBC,NYT,minnesota,0.08976818950930626,0.12726666666666667
NBC,NYT,new world oriole,NaN,NaN
NBC,NYT,old world oriole,NaN,NaN
NBC,NYT,white house,0.045846045566681176,0.062233333333333335
NBC,NYT,white house,0.045846045566681176,0.062233333333333335
NBC,NYT,afghanistan,-0.005951841491841493,0.0
NBC,NYT,backpacker,NaN,NaN
NBC,NYT,indiana,0.08975610200364299,0.12726666666666667
NBC,RET,united states,0.013917428236672524,0.010066666666666668
NBC,RET,united states government,0.0021453703703703695,0.08066666666666664
NBC,RET,minnesota,0.07034016064257029,0.0735
NBC,RET,new world oriole,NaN,NaN
NBC,RET,old world oriole,NaN,NaN
NBC,RET,white house,0.03236622210823288,0.0328
NBC,RET,white house,0.03236622210823288,0.0328
NBC,RET,afghanistan,-0.07485157977883096,-0.0638
NBC,RET,backpacker,-0.24513333333333334,-0.24513333333333334
NBC,RET,indiana,0.04673826291079812,0.05101666666666667
NBC,WPO,united states,0.030501066217732884,0.02811666666666668
NBC,WPO,united states government,0.07971666666666666,0.09065000000000001
NBC,WPO,minnesota,0.05379506849315069,0.06413333333333336
NBC,WPO,new world oriole,NaN,NaN
NBC,WPO,old world oriole,NaN,NaN
NBC,WPO,white house,0.040513013347022585,0.042666666666666665
NBC,WPO,white house,0.040513013347022585,0.042666666666666665
NBC,WPO,afghanistan,-0.002970881720430109,0.0
NBC,WPO,backpacker,NaN,NaN
NBC,WPO,indiana,0.06982056962025317,0.06388333333333336
NBC,WSJ,united states,0.05620980392156863,0.10533333333333333
NBC,WSJ,united states government,-0.05686666666666666,-0.05686666666666666
NBC,WSJ,minnesota,0.1613814814814815,0.18195
NBC,WSJ,new world oriole,NaN,NaN
NBC,WSJ,old world oriole,NaN,NaN
NBC,WSJ,white house,0.09546400000000001,0.11098333333333332
NBC,WSJ,white house,0.09546400000000001,0.11098333333333332
NBC,WSJ,afghanistan,0.14551376811594202,0.1624833333333333
NBC,WSJ,backpacker,NaN,NaN
NBC,WSJ,indiana,0.01331666666666666,0.01331666666666666
NYT,CNN,congress,0.04763628498727736,0.042666666666666665
NYT,CNN,congress,0.04763628498727736,0.042666666666666665
NYT,CNN,congress,0.04763628498727736,0.042666666666666665
NYT,CNN,sexual intercourse,NaN,NaN
NYT,CNN,united states,0.0583326639892905,0.05123333333333333
NYT,CNN,white house,0.045786596385542166,0.03479999999999998
NYT,CNN,white house,0.045786596385542166,0.03479999999999998
NYT,CNN,america,0.05165330634278003,0.042666666666666665
NYT,CNN,new york,0.068021,0.058600000000000006
NYT,CNN,new york,0.068021,0.058600000000000006
NYT,CTB,congress,0.057804235727440145,0.09106666666666667
NYT,CTB,congress,0.057804235727440145,0.09106666666666667
NYT,CTB,congress,0.057804235727440145,0.09106666666666667
NYT,CTB,sexual intercourse,NaN,NaN
NYT,CTB,united states,0.09959312169312169,0.14376666666666668
NYT,CTB,white house,0.09868634751773049,0.10731666666666667
NYT,CTB,white house,0.09868634751773049,0.10731666666666667
NYT,CTB,america,0.027806937394247038,0.029299999999999993
NYT,CTB,new york,0.12954908424908423,0.1565
NYT,CTB,new york,0.12954908424908423,0.1565
NYT,FXN,congress,0.005855969868173258,0.0
NYT,FXN,congress,0.005855969868173258,0.0
NYT,FXN,congress,0.005855969868173258,0.0
NYT,FXN,sexual intercourse,NaN,NaN
NYT,FXN,united states,0.002990604026845637,0.002116666666666674
NYT,FXN,white house,0.01581015655965121,0.015633333333333332
NYT,FXN,white house,0.01581015655965121,0.015633333333333332
NYT,FXN,america,0.008970733348284368,0.00686666666666665
NYT,FXN,new york,-0.00969527739569005,0.0
NYT,FXN,new york,-0.00969527739569005,0.0
NYT,HFP,congress,0.03967959879248223,0.03516666666666668
NYT,HFP,congress,0.03967959879248223,0.03516666666666668
NYT,HFP,congress,0.03967959879248223,0.03516666666666668
NYT,HFP,sexual intercourse,0.0,0.0
NYT,HFP,united states,0.05154402650904531,0.05103333333333334
NYT,HFP,white house,0.050189595545134816,0.04419999999999999
NYT,HFP,white house,0.050189595545134816,0.04419999999999999
NYT,HFP,america,0.05350351520379556,0.05023333333333334
NYT,HFP,new york,0.05044856641310708,0.05103333333333334
NYT,HFP,new york,0.05044856641310708,0.05103333333333334
NYT,NBC,congress,-0.08723333333333333,-0.08723333333333333
NYT,NBC,congress,-0.08723333333333333,-0.08723333333333333
NYT,NBC,congress,-0.08723333333333333,-0.08723333333333333
NYT,NBC,sexual intercourse,NaN,NaN
NYT,NBC,united states,0.2511676190476191,0.31883333333333336
NYT,NBC,white house,0.12737391304347825,0.16463333333333333
NYT,NBC,white house,0.12737391304347825,0.16463333333333333
NYT,NBC,america,0.0272156862745098,0.14049999999999999
NYT,NBC,new york,0.2118,0.21621666666666667
NYT,NBC,new york,0.2118,0.21621666666666667
NYT,RET,congress,0.031050990018000327,0.025733333333333334
NYT,RET,congress,0.031050990018000327,0.025733333333333334
NYT,RET,congress,0.031050990018000327,0.025733333333333334
NYT,RET,sexual intercourse,0.20795000000000002,0.20795000000000002
NYT,RET,united states,0.013917428236672524,0.010066666666666668
NYT,RET,white house,0.03236622210823288,0.0328
NYT,RET,white house,0.03236622210823288,0.0328
NYT,RET,america,0.02807279328341275,0.025733333333333334
NYT,RET,new york,0.0022023840769903754,0.0
NYT,RET,new york,0.0022023840769903754,0.0
NYT,WPO,congress,0.03677428955023495,0.038166666666666675
NYT,WPO,congress,0.03677428955023495,0.038166666666666675
NYT,WPO,congress,0.03677428955023495,0.038166666666666675
NYT,WPO,sexual intercourse,NaN,NaN
NYT,WPO,united states,0.030501066217732884,0.02811666666666668
NYT,WPO,white house,0.040513013347022585,0.042666666666666665
NYT,WPO,white house,0.040513013347022585,0.042666666666666665
NYT,WPO,america,0.05438590136360906,0.06040000000000001
NYT,WPO,new york,0.059002920560747664,0.06743333333333333
NYT,WPO,new york,0.059002920560747664,0.06743333333333333
NYT,WSJ,congress,0.10370598958333334,0.11438333333333334
NYT,WSJ,congress,0.10370598958333334,0.11438333333333334
NYT,WSJ,congress,0.10370598958333334,0.11438333333333334
NYT,WSJ,sexual intercourse,NaN,NaN
NYT,WSJ,united states,0.05620980392156863,0.10533333333333333
NYT,WSJ,white house,0.09546400000000001,0.11098333333333332
NYT,WSJ,white house,0.09546400000000001,0.11098333333333332
NYT,WSJ,america,0.11112716049382716,0.1244
NYT,WSJ,new york,0.14406461538461537,0.16056666666666666
NYT,WSJ,new york,0.14406461538461537,0.16056666666666666
RET,CNN,united states,0.0583326639892905,0.05123333333333333
RET,CNN,united states government,0.02437333333333332,0.042666666666666665
RET,CNN,congress,0.04763628498727736,0.042666666666666665
RET,CNN,congress,0.04763628498727736,0.042666666666666665
RET,CNN,congress,0.04763628498727736,0.042666666666666665
RET,CNN,sexual intercourse,NaN,NaN
RET,CNN,white house,0.045786596385542166,0.03479999999999998
RET,CNN,white house,0.045786596385542166,0.03479999999999998
RET,CNN,united states house of representatives,NaN,NaN
RET,CNN,new york,0.068021,0.058600000000000006
RET,CTB,united states,0.09959312169312169,0.14376666666666668
RET,CTB,united states government,0.17436666666666664,0.17436666666666664
RET,CTB,congress,0.057804235727440145,0.09106666666666667
RET,CTB,congress,0.057804235727440145,0.09106666666666667
RET,CTB,congress,0.057804235727440145,0.09106666666666667
RET,CTB,sexual intercourse,NaN,NaN
RET,CTB,white house,0.09868634751773049,0.10731666666666667
